FEATURE CARRIED,CONDITION RATING,VERBAL RATING
WHITESTONE EXP NB,4.656,FAIR
BRUCKNER EXPWY SVC RD,3.565,FAIR
NEREID AVE (E 240TH ST),4.500,FAIR
MACOMBS DAM BRIDGE,3.930,FAIR
91 PLACE (2247010),6.500,VGOOD
67 AVE PED BR (2247200),4.219,FAIR
51 AVE PED BR (2247280),3.018,FAIR
METROPOLITAN AVE,3.603,FAIR
NORTHERN BLVD WB,4.338,FAIR
NORTHERN BLVD EB,4.268,FAIR
N.BLVD WB TO 678I SB,5.619,GOOD
BRONX RIVER PKWY,5.138,GOOD
HAMILTON PLACE,5.528,GOOD
GRAND AVE,4.861,FAIR
69TH STREET,5.056,GOOD
495I  (2066000),5.479,GOOD
5TH AVE,5.063,GOOD
BRUCKNER EXPWY SB,4.972,FAIR
BRUCKNER EXPWY NB,4.418,FAIR
E 174TH ST,3.986,FAIR
174TH ST-NTH PED BRDG,4.833,FAIR
174TH ST-STH PED BRDG,4.750,FAIR
WASHINGTON BRIDGE,4.493,FAIR
BRUCKNER EXPWY SB,5.698,GOOD
BRUCKNER EXPWY NB,6.190,VGOOD
E TREMONT AVE,4.528,FAIR
WESTCHESTER AVE,4.097,FAIR
BRONX PELHAM PKWY,3.974,FAIR
HUTCHINSON RVR PKWY,4.578,FAIR
BE NB SERVICE RD,4.895,FAIR
BE SB SERVICE RD,5.079,GOOD
DEPOT PLACE,4.319,FAIR
BRUCKNER EXPWY,4.433,FAIR
HHP VIADUCT,3.597,FAIR
PED BR AT W 73RD ST,3.812,FAIR
W72ND ST RAMP TO HHP NB,6.648,VGOOD
W 79 ST,4.424,FAIR
HHP,5.267,GOOD
HHP SB,4.455,FAIR
HHP NB,4.182,FAIR
HHP SB,5.133,GOOD
HHP NB,5.300,GOOD
HHP,4.155,FAIR
RAMP TO N.B. HHP,3.736,FAIR
W 181ST ST PED BRDG,4.418,FAIR
HHP,5.069,GOOD
W 232ND ST,5.026,GOOD
W 236TH ST PED BRDG,3.780,FAIR
W 239TH ST,5.053,GOOD
MANHATTAN COLL PKWY,5.053,GOOD
W 246TH ST,4.868,FAIR
W 252ND ST,5.372,GOOD
RIVERDALE AVE,5.079,GOOD
FIELDSTON ROAD,4.900,FAIR
HHP,4.830,FAIR
VAN CRTLDT PARK,4.759,FAIR
VAN CRTLDT EQUES,4.600,FAIR
BRONX PELHAM PKWY,4.486,FAIR
BOSTON ROAD,4.042,FAIR
HIGHLAND BLVD E.B.,4.724,FAIR
HIGHLAND BLVD W.B.,4.767,FAIR
HIGHLAND BLVD W.B.,4.974,FAIR
CYPRESS HILLS ST,4.722,FAIR
JACKIE ROBINSON PKWY,5.444,GOOD
MYRTLE AVE,5.250,GOOD
JACKIE ROBINSON PKWY,5.286,GOOD
UNION TPKE,5.672,GOOD
MARKWOOD ROAD,5.167,GOOD
QUEENS BLVD,4.841,FAIR
HIGHLAND BLVD NB,5.762,GOOD
MOSHOLU PARKWAY,4.263,FAIR
MOSHOLU PARKWAY,5.391,GOOD
MOSHOLU PARKWAY,5.203,GOOD
JEROME AVE,4.711,FAIR
MOSHOLU PARKWAY,4.310,FAIR
MOSHOLU PARKWAY,4.271,FAIR
MOSHOLU PARKWAY,4.919,FAIR
SUMMIT ST PED BRDG,4.557,FAIR
UNION ST,4.236,FAIR
SACKETT ST,4.500,FAIR
KANE ST,4.153,FAIR
CONGRESS ST,6.029,VGOOD
278I EB (B.Q.E.),4.500,FAIR
278I WB (B.Q.E.),5.047,GOOD
278I  (B.Q.E.) RAMP TO BKLN BRDG,5.000,GOOD
278I WB (B.Q.E.),5.200,GOOD
278I EB (B.Q.E.),4.933,FAIR
278I  (B.Q.E.),5.467,GOOD
278I  (B.Q.E.),4.833,FAIR
278I  (B.Q.E.),4.852,FAIR
278I  (B.Q.E.),5.019,GOOD
278I  (B.Q.E.),4.967,FAIR
278I  (B.Q.E.),5.169,GOOD
65TH PLACE,5.889,GOOD
QUEENS BLVD,6.306,VGOOD
WOODSIDE AVE,5.672,GOOD
69TH ST,5.263,GOOD
70TH ST,6.556,VGOOD
41ST AVE,6.735,VGOOD
ROOSEVELT AVE,5.431,GOOD
BROADWAY / 37TH AVE,5.579,GOOD
STEINWAY ST,6.349,VGOOD
STEINWAY ST,6.349,VGOOD
37TH ST,4.681,FAIR
35TH ST,4.667,FAIR
32ND ST,4.875,FAIR
31ST ST,4.514,FAIR
278I  (B.Q.E.),6.051,VGOOD
278I  (B.Q.E.),5.983,GOOD
278I  (B.Q.E.),6.016,VGOOD
278I NB (BQE WEST LEG),6.407,VGOOD
278I NB (BQE EAST LEG),6.352,VGOOD
278I SB  (BQE WEST LEG),6.424,VGOOD
278I SB  (BQE EAST LEG),6.152,VGOOD
31ST AVE,5.767,GOOD
278I SB (BQE WEST LEG),5.978,GOOD
278I SB (BQE EAST LEG),6.424,VGOOD
278I NB (BQE EAST LEG),6.356,VGOOD
278I (BQE WEST LEG),6.102,VGOOD
278I (BQE EAST LEG),6.206,VGOOD
BULOVA AVE,5.278,GOOD
49TH ST,5.278,GOOD
ASTORIA BLVD EB,4.279,FAIR
47TH ST,4.889,FAIR
278I NB (BQE WEST LEG),4.583,FAIR
44TH ST,4.764,FAIR
278I WB (B.Q.E.),5.000,GOOD
278I EB (B.Q.E.),4.619,FAIR
QUEENS BLVD,5.659,GOOD
COLUMBIA HEIGHTS,4.450,FAIR
278I W.B.  (B.Q.E.),4.403,FAIR
278I E.B.  (B.Q.E.),5.263,GOOD
49TH ST,4.444,FAIR
BSHP,6.905,VGOOD
81ST ST PED BRDG,4.761,FAIR
92ND ST PED BRDG,3.770,FAIR
4TH AVE,4.763,FAIR
BAY 8TH ST,5.730,GOOD
17TH AVE PED BRDG,3.702,FAIR
BSHP,4.533,FAIR
BSHP,4.600,FAIR
27TH AVE PED BRDG,4.067,FAIR
CROPSEY AVE,4.639,FAIR
BSHP,6.448,VGOOD
GUIDER AV RAMP TO BSHP,6.778,VGOOD
CONEY ISLAND AVE,5.542,GOOD
E 12TH ST,4.542,FAIR
BSHP,4.738,FAIR
BSHP,4.306,FAIR
BSHP,4.278,FAIR
BSHP,4.264,FAIR
KNAPP ST,4.313,FAIR
BSHP,3.239,FAIR
FLATBUSH AVE,6.088,VGOOD
BSHP,3.209,FAIR
BSHP WB,6.758,VGOOD
BSHP EB,7.000,VGOOD
BSHP,7.000,VGOOD
BSHP,6.577,VGOOD
PENNSYLVANIA AVE,5.583,GOOD
CROSS BAY BLVD,5.083,GOOD
S CONDUIT BLVD,5.268,GOOD
COHANCY ST,4.395,FAIR
130TH ST,4.659,FAIR
GUY R. BREWER BLVD,6.028,VGOOD
FARMERS BLVD,4.477,FAIR
SPRINGFIELD BLVD,4.591,FAIR
225TH ST,4.614,FAIR
SUNRISE HWY W.B.,4.262,FAIR
SUNRISE HWY W.B.,4.565,FAIR
N CONDUIT AVE WB,4.917,FAIR
N CONDUIT AVE WB,4.932,FAIR
FRANCIS LEWIS BLVD,5.033,GOOD
FRANCIS LEWIS BLVD,4.700,FAIR
MERRICK BLVD,4.467,FAIR
MERRICK BLVD,4.200,FAIR
130TH AVE,5.133,GOOD
130TH AVE,4.700,FAIR
LINDEN BLVD,4.432,FAIR
BCIP,4.233,FAIR
BELMONT PARK SO. RAMP,4.781,FAIR
HEMPSTEAD AVE,4.000,FAIR
BELMONT PARK NO. RAMP,4.563,FAIR
SUPERIOR ROAD,4.682,FAIR
JAMAICA AVE,4.773,FAIR
BRADDOCK AVE,4.886,FAIR
HILLSIDE AVE,4.211,FAIR
UNION TPKE,4.409,FAIR
W ALLEY ROAD,5.368,GOOD
NORTHERN BLVD,5.764,GOOD
CROCHERON PK PED,3.800,FAIR
28TH AVE PED BRDG,4.615,FAIR
BCIP,4.609,FAIR
UTOPIA PKWY,5.341,GOOD
160TH ST,5.694,GOOD
FRANCIS LEWIS BLVD,4.682,FAIR
CLINTONVILLE ST,4.705,FAIR
150TH ST,4.591,FAIR
149TH ST,4.795,FAIR
14TH AVE,4.523,FAIR
147TH ST,4.705,FAIR
BATTERY PLACE,5.182,GOOD
FDR DR N.B. OFF RMP,4.493,FAIR
STH ST RMP TO FDR S.B.,3.881,FAIR
